id,restaurant_id,attribute_key,attribute_value
ed287696-a55e-533b-afed-a8cc71d4fec9,c435dc89-9e5f-5ca4-938f-988210be1b34,category,"""Restaurant"""
8c9962b0-138f-5709-8d35-3cee31603055,c435dc89-9e5f-5ca4-938f-988210be1b34,opening_hours,"""Closes soon 12 am · Opens 6:30 am S"""
0d69c2e8-1257-5413-8f54-6db5cff5939a,c435dc89-9e5f-5ca4-938f-988210be1b34,service_options,"""Dine-in, Drive-through, No-contact delivery"""
29c9e3b0-2d63-5205-8fc5-44255f5681d2,63bd3b08-6d35-5912-9843-cdbdf8b89cce,category,"""Family-friendly"""
efd8ec9b-b445-5bfd-8314-6e033c3127e3,63bd3b08-6d35-5912-9843-cdbdf8b89cce,opening_hours,"""Open Closes 4 am"""
ef2a1e96-30fd-58c3-b7ff-79ddb69cd6ec,63bd3b08-6d35-5912-9843-cdbdf8b89cce,service_options,"""Dine-in, Takeaway, No-contact delivery"""
d67ef588-f942-500d-bdae-9ac1b0a3228f,2c46084e-f69b-59be-81a8-fe8470bc1fdf,category,"""Restaurant"""
e656bbbd-3236-5fe2-a175-5e0c1021ce8a,2c46084e-f69b-59be-81a8-fe8470bc1fdf,service_options,"""Dine-in, Takeaway"""
e6bdd120-4cf2-5ed5-8c72-ab2172102eb0,38c9dda3-5649-572e-b911-7a171e9e9cd2,category,"""Restaurant"""
795784b9-2e9f-5e22-92cc-6fd6531254a3,38c9dda3-5649-572e-b911-7a171e9e9cd2,opening_hours,"""Open Closes 12:30 am"""
04887ed5-80bc-5774-b5fe-c530bc718c7a,38c9dda3-5649-572e-b911-7a171e9e9cd2,service_options,"""Dine-in, Takeaway, Delivery"""
c0d54076-5f1a-53aa-9b1e-217726ccac91,38c9dda3-5649-572e-b911-7a171e9e9cd2,price_range,"""৳200–400"""
5182327e-bd2b-5e2d-a8e4-ea5dceb95136,9ae6c9a6-69bc-501c-b6b3-e51bcb4b1e0a,category,"""Restaurant"""
fbeca254-7932-574a-ad4b-0d49c34a4de9,9ae6c9a6-69bc-501c-b6b3-e51bcb4b1e0a,opening_hours,"""Closed Opens 11 am Sat"""
c299bfec-8664-501d-9ef6-ad5cc5a515d5,9ae6c9a6-69bc-501c-b6b3-e51bcb4b1e0a,service_options,"""Dine-in, Drive-through, No-contact delivery"""
50592f6f-4153-5ead-a637-148732cbcfa3,9ae6c9a6-69bc-501c-b6b3-e51bcb4b1e0a,price_range,"""৳400–1,400"""
04ac475b-e30c-5b80-888e-cca35e1afe52,27d8dee1-daa3-5431-8f9b-9c96b4d3a5a6,category,"""Steak"""
3a1d9fd4-3bb1-56fd-b606-2294dfeee69e,27d8dee1-daa3-5431-8f9b-9c96b4d3a5a6,opening_hours,"""Closed Opens 1 pm Sat"""
6021c4f7-6678-5c5d-bf2e-905647f981d5,27d8dee1-daa3-5431-8f9b-9c96b4d3a5a6,service_options,"""Dine-in, Kerbside pickup, Delivery"""
d52661af-b1f6-5819-b79c-56d68b336f95,27d8dee1-daa3-5431-8f9b-9c96b4d3a5a6,price_range,"""৳2,000+"""
d69bc664-aa99-5b67-9389-525804aed663,6f74590f-8a56-504b-9944-3b02773c3991,category,"""Restaurant"""
95e2153b-bc97-5707-8106-0b72ae5dd400,6f74590f-8a56-504b-9944-3b02773c3991,opening_hours,"""Closed Opens 10:30 am Sat"""
a7b0c983-ca74-5474-88f8-7f86fea551f7,6f74590f-8a56-504b-9944-3b02773c3991,service_options,"""Dine-in, Drive-through, No-contact delivery"""
0c5db3f6-b282-5737-9da9-44abf5c50629,6f74590f-8a56-504b-9944-3b02773c3991,price_range,"""৳2,000+"""
85ceaa49-0cc1-5c21-a9fc-dd13809f364d,c7ecf395-bd66-58c6-a89b-be6a9043f2c4,category,"""Buffet"""
12d4fd06-72dc-5438-96d5-1eb82eb51c8a,c7ecf395-bd66-58c6-a89b-be6a9043f2c4,opening_hours,"""Closed Opens 12 pm Sat"""
4cfcc9e5-dba6-5bbe-9070-83b9f1859cb4,c7ecf395-bd66-58c6-a89b-be6a9043f2c4,service_options,"""Dine-in, Takeaway"""
29e858d5-d0c9-50a9-b02a-1597ec00dd54,c7ecf395-bd66-58c6-a89b-be6a9043f2c4,price_range,"""৳1,000–1,800"""
c3b4b363-17ca-5693-9d77-0144406462a7,42e1385f-ad7c-5b54-8460-04616070e3ea,category,"""Restaurant"""
fd6114a2-005d-5445-b881-c1edfe72bf2c,42e1385f-ad7c-5b54-8460-04616070e3ea,opening_hours,"""Closed Opens 10 am Sat"""
ddffc53f-cb39-55de-bf1d-89cc14b7ebb9,42e1385f-ad7c-5b54-8460-04616070e3ea,service_options,"""Dine-in, Drive-through, No-contact delivery"""
39384b11-9f3f-5f2d-8e56-4d61d9ed1bf7,a62b6af6-5c1d-5787-aa2d-ff066a40d3fb,category,"""Restaurant"""
a983b610-f967-5ae3-bc43-74866e680adf,a62b6af6-5c1d-5787-aa2d-ff066a40d3fb,opening_hours,"""Open Closes 1 am"""
cfcaa2ee-4d69-5f30-a254-da4a9e00e8a7,a62b6af6-5c1d-5787-aa2d-ff066a40d3fb,service_options,"""Dine-in, Drive-through, No-contact delivery"""
ee3777ba-147e-52d7-ae96-b01ab612a3fc,36b90192-41a4-5227-9654-66d0da9d6da7,category,"""Restaurant"""
e751ec11-0750-5aba-88b9-691a32568948,36b90192-41a4-5227-9654-66d0da9d6da7,opening_hours,"""Closed Opens 12 pm Sat"""
6e535858-bc39-561b-93a0-ac4c3698a691,36b90192-41a4-5227-9654-66d0da9d6da7,service_options,"""Dine-in, Takeaway, Delivery"""
908450eb-ff76-5d42-ad1e-b8bfbdb5234c,36b90192-41a4-5227-9654-66d0da9d6da7,price_range,"""৳2,000+"""
50d3054d-01fe-56c1-89ad-7b67ecd04638,57781c3a-77b4-540f-8cde-4c92e014f09f,category,"""Restaurant"""
799a3354-9f84-5fb6-b5ba-a312298ae038,57781c3a-77b4-540f-8cde-4c92e014f09f,opening_hours,"""Closed Opens 12 pm Sat"""
b42e0f8c-21a5-5e97-b56e-8bdf4ff994eb,57781c3a-77b4-540f-8cde-4c92e014f09f,service_options,"""Dine-in, Drive-through, No-contact delivery"""
faefb4b6-76b3-5310-82d0-d1483982ef03,d0b25ef4-a811-5b95-a1b7-06578e0f041e,category,"""Chinese"""
e6723b2f-2907-5e0d-b009-bd77383aaa47,d0b25ef4-a811-5b95-a1b7-06578e0f041e,opening_hours,"""Closed Opens 12 pm Sat"""
9b05de34-8f12-5035-ab0b-cc5e7a72d0ae,d0b25ef4-a811-5b95-a1b7-06578e0f041e,service_options,"""Dine-in, Kerbside pickup, Delivery"""
3630e2a3-4624-5e70-a8f5-a2494320b621,d0b25ef4-a811-5b95-a1b7-06578e0f041e,price_range,"""৳400–1,600"""
297fa520-9393-5e86-83ce-f5a16bdb0836,2bd4ad9f-f190-5427-8fc9-80dea32030f8,category,"""Restaurant"""
7efee2cb-5022-5fcd-9e28-ddaa1580663a,2bd4ad9f-f190-5427-8fc9-80dea32030f8,opening_hours,"""Open Closes 1 am"""
ed71e0db-7af0-54af-9d1e-62011ca0f990,2bd4ad9f-f190-5427-8fc9-80dea32030f8,service_options,"""Dine-in, Drive-through, No-contact delivery"""
55f13fab-c7e6-58a8-b89d-290fcca3642f,2bd4ad9f-f190-5427-8fc9-80dea32030f8,price_range,"""৳600–1,600"""
894f0e95-56a8-554b-ac59-3bb57a863cb0,9bad97a8-0891-5f53-a6a8-29bad7786630,category,"""Fast Food"""
fd18edf1-2739-515a-b2a5-90ff10b4cb65,9bad97a8-0891-5f53-a6a8-29bad7786630,opening_hours,"""Open Closes 2 am"""
3671174d-6718-5e97-a94e-6a97658b1103,9bad97a8-0891-5f53-a6a8-29bad7786630,service_options,"""Dine-in, Drive-through, No-contact delivery"""
cd9ce383-bf9f-58ca-b6be-f8d2666547d6,9bad97a8-0891-5f53-a6a8-29bad7786630,price_range,"""৳400–1,200"""
211ecfd6-6ebf-5fbc-b90e-71f64e11378f,840273ea-116b-57ea-81a4-97587663fa89,category,"""Seafood"""
f82a2b18-352b-5858-b650-3a69714019d2,840273ea-116b-57ea-81a4-97587663fa89,opening_hours,"""Closes soon 12 am · Opens 12 pm Sa"""
05bc2240-7ea5-558d-b8c0-16b4f367b353,840273ea-116b-57ea-81a4-97587663fa89,service_options,"""Dine-in, Takeaway, No-contact delivery"""
6fc23421-0041-55a9-9222-d516e41f5ffe,840273ea-116b-57ea-81a4-97587663fa89,price_range,"""৳2,000+"""
