id,menu_id,item_name,category
1e8795a4-5d38-57c5-9328-4b4972a9811e,b67578fe-9216-5074-8de3-8c6baa39f7fe,Salted Caramel Freddo,Cafè Freddo
41b98ad4-058a-5bff-b690-9c94ece7d350,b67578fe-9216-5074-8de3-8c6baa39f7fe,Watermelon,Fresh Juice
ae58bdca-45df-543d-a396-19430dacb705,b67578fe-9216-5074-8de3-8c6baa39f7fe,Mango,Fresh Juice
bafd089a-c978-5e32-a74c-fdc3e8dbc819,b67578fe-9216-5074-8de3-8c6baa39f7fe,Orange,Fresh Juice
53f977e4-bd53-5c5f-92eb-8754aae71f40,b67578fe-9216-5074-8de3-8c6baa39f7fe,Red Velvet Slice Cake,Slice Cakes
ba13e742-31df-559e-b320-07f82eab0df1,b67578fe-9216-5074-8de3-8c6baa39f7fe,NY Cheese Slice Cake,Slice Cakes
9f523e0b-a367-5ab8-93c4-ea6acf3d5de5,b67578fe-9216-5074-8de3-8c6baa39f7fe,Chocolate Delight Slice Cake,Slice Cakes
f130bab6-2854-5640-8592-0e1b80b3b5a3,b67578fe-9216-5074-8de3-8c6baa39f7fe,Basque Burnt Cheese Slice Cake,Slice Cakes
ed7e3096-6342-5ec2-8f38-17d1e44f430f,b67578fe-9216-5074-8de3-8c6baa39f7fe,Carrot Cheese Slice Cake,Slice Cakes
32904145-428b-54d8-aa95-bb8739641e37,b67578fe-9216-5074-8de3-8c6baa39f7fe,Red Velvet,Cup Cakes
696b94a5-0477-5f31-8e93-5d6d9740356b,b67578fe-9216-5074-8de3-8c6baa39f7fe,Chocolate,Cup Cakes
dbe7dee5-b6b6-5864-b07b-f9e751b0226b,b67578fe-9216-5074-8de3-8c6baa39f7fe,Red Velvet Cookie,Cookies
66e7c92d-8314-595c-bfe2-dbeba9513ab8,b67578fe-9216-5074-8de3-8c6baa39f7fe,Chocolate Chip Cookie,Cookies
a6ae3a2e-49f4-5e52-b1e0-224202fb4673,b67578fe-9216-5074-8de3-8c6baa39f7fe,Fudgy Chocolate Cookie,Cookies
1eaff2a7-ca35-500d-818a-3c9b4765357a,b67578fe-9216-5074-8de3-8c6baa39f7fe,American Chocolate Brownie,Brownies
e89f2c3b-992a-5665-bd33-29b081ad9d89,b67578fe-9216-5074-8de3-8c6baa39f7fe,Cheesy Marble Brownie,Brownies
d77c3b5c-71b5-5385-92ec-b46e2fd20683,b67578fe-9216-5074-8de3-8c6baa39f7fe,Caramel Coconut Freddo,Cream Freddo
17f586fc-7dc9-5681-8164-601187fa545f,b67578fe-9216-5074-8de3-8c6baa39f7fe,Nutty Mango Shake,Shakes
fb349201-e345-5492-b12f-6cc0ae8b011f,b67578fe-9216-5074-8de3-8c6baa39f7fe,Chocolate Brownie Shake,Shakes
7f8834ad-02d4-50ba-86ab-0e035a8aa855,b67578fe-9216-5074-8de3-8c6baa39f7fe,Red Velvet Shake,Shakes
9c6edb15-74c4-5a99-bc91-f14e272fbf81,b67578fe-9216-5074-8de3-8c6baa39f7fe,Ferrero Rocher Shake,Shakes
6ef76c3f-e956-5988-9e43-fdfdf61b4ca6,b67578fe-9216-5074-8de3-8c6baa39f7fe,Classic Milk Tea,Hot Tea
5d80b8fa-fab4-5ffe-85ce-56d00e87e60a,b67578fe-9216-5074-8de3-8c6baa39f7fe,Regular Black Tea,Hot Tea
aa70cf59-afdc-5cd5-bcdb-cbe3843e0e62,b67578fe-9216-5074-8de3-8c6baa39f7fe,Honey Lime Tea,Hot Tea
8a0794d6-f2a4-55d1-a168-17375f40704a,b67578fe-9216-5074-8de3-8c6baa39f7fe,Ginger Tea,Hot Tea
cdef3cf6-be92-57da-9836-40480d48bded,b67578fe-9216-5074-8de3-8c6baa39f7fe,Earl Grey Tea,Hot Tea
3783170c-3b3d-59ec-a389-44f794c61b60,b67578fe-9216-5074-8de3-8c6baa39f7fe,Green & Lime Tea,Hot Tea
57cff673-dceb-5c70-a76d-7408fb991a31,b67578fe-9216-5074-8de3-8c6baa39f7fe,Lemon Iced Tea,Frost Tea
1fd893e9-4cba-5b49-b344-07db825a6af4,b67578fe-9216-5074-8de3-8c6baa39f7fe,White Chocolate Freddo,Cream Freddo
431f216a-e2fc-539e-b647-8a387c633d0c,b67578fe-9216-5074-8de3-8c6baa39f7fe,Dark Chocolate Freddo,
ac16310c-f4c0-580e-b584-8ec7ce742eff,b67578fe-9216-5074-8de3-8c6baa39f7fe,Red Velvet Freddo,Cream Freddo
483a6530-532c-562f-86a4-939feafcfcd3,b67578fe-9216-5074-8de3-8c6baa39f7fe,Vanilla Shake,Shakes
f735ac65-b124-5104-af8f-bb1f25c40421,b67578fe-9216-5074-8de3-8c6baa39f7fe,Oreo Shake,Shakes
be3c39dd-634c-58c2-8b15-42c3ee9df0a6,b67578fe-9216-5074-8de3-8c6baa39f7fe,Chicken Katsu,Mains
600071cd-1819-58e5-9a92-2059dbd959e3,b67578fe-9216-5074-8de3-8c6baa39f7fe,Scallopine Al Limone E Funghi,Mains
9ad832ab-a612-5fd2-92d0-371246b9bbe3,b67578fe-9216-5074-8de3-8c6baa39f7fe,Grilled Dory,Mains
a8185782-d966-5ec8-98a0-d81645e752c7,b67578fe-9216-5074-8de3-8c6baa39f7fe,Prawn Dry Red Chili,Mains
f544ee52-2294-5944-9249-9bcc69b75858,b67578fe-9216-5074-8de3-8c6baa39f7fe,Beef Teriyaki,Mains
